@relation train

@attribute sentence string 
@attribute org.luima.types.vip.VaccineMention {0, 1}
@attribute org.luima.types.vip.AdverseMedicalConditionMention {0, 1}
@attribute org.luima.types.vip.CausalityRelationMention {0, 1}
@attribute org.luima.types.vip.CausationConceptMention {0, 1}
@attribute org.luima.types.vip.VaccinationEventMention {0, 1}
@attribute org.luima.types.Citation {0, 1}
@attribute org.luima.types.reasoning.LegalRuleSentence {0, 1}
@attribute org.luima.types.reasoning.LegalPolicySentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceBasedFindingSentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceBasedReasoningSentence {0, 1}
@attribute org.luima.types.reasoning.EvidenceSentence {0, 1}
@attribute org.luima.types.reasoning.ProcessProceduralFactSentence {0, 1}
@attribute org.luima.types.reasoning.RulingHoldingSentence {0, 1}

@data 

"This is an action in which the petitioner seeks an award under the National Vaccine Injury Compensation Program (hereinafter “the Program--see 42 U.S.C. § 300aa-10 et seq.).",0,0,0,0,0,1,0,0,0,0,0,1,0
"For the reasons set forth below, I conclude that she is entitled to such an award, in an amount yet to be determined.",0,0,0,0,0,0,0,0,0,0,0,0,1
"Under the National Vaccine Injury Compensation Program (hereinafter the Program), compensation awards are made to individuals who have suffered injuries after receiving vaccines.",0,0,0,0,1,0,0,1,0,0,0,0,0
"In general, to gain an award, a petitioner must make a number of factual demonstrations, including showings that an individual received a vaccination covered by the statute; received it in the United States; suffered a serious long-lasting injury; and has received no previous award or settlement on account of the injury.",0,1,0,0,1,0,1,0,0,0,0,0,0
"Finally--and the key question in most cases under the Program--the petitioner must also establish a causal link between the vaccination and the injury.",0,1,1,0,1,0,1,0,0,0,0,0,0
"In some cases, the petitioner may simply demonstrate the occurrence of what has been called a Table Injury.",0,1,0,0,0,0,1,0,0,0,0,0,0
"That is, it may be shown that the vaccine recipient suffered an injury of the type enumerated in the “Vaccine Injury Table” corresponding to the vaccination in question, within an applicable time period also specified in the Table.",0,1,0,0,1,0,1,0,0,0,0,0,0
"If so, the Table Injury is presumed to have been caused by the vaccination, and the petitioner is automatically entitled to compensation, unless it is shown affirmatively that the injury was caused by some factor other than the vaccination. § 300aa- 13(a)(1)(A); § 300aa-11(c)(1)(C)(i); § 300aa-14(a); § 300aa-13(a)(1)(B).",0,1,1,0,1,1,1,0,0,0,0,0,0
"In other cases, however, the vaccine recipient may have suffered an injury not of the type covered in the Vaccine Injury Table.",0,1,0,0,0,0,1,0,0,0,0,0,0
"In such instances, an alternative means exists of demonstrating entitlement to a Program award.",0,0,0,0,0,0,1,0,0,0,0,0,0
"That is, the petitioner may gain an award by showing that the recipient’s injury was “caused-in-fact” by the vaccination in question. § 300aa-13(a)(1)(A); § 300aa- 11(c)(1)(C)(ii).",0,1,1,0,1,1,1,0,0,0,0,0,0
"In such a situation, of course, the presumptions available under the Vaccine Injury Table are inoperative.",0,0,0,0,0,0,1,0,0,0,0,0,0
"The burden is on the petitioner to introduce evidence demonstrating that, in fact, the vaccination caused the injury in question.",0,1,1,0,1,0,1,0,0,0,0,0,0
"Althen v. Secretary of HHS, 418 F. 3d 1274, 1278 (Fed. Cir. 2005);",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hines v. Secretary of HHS, 940 F. 2d 1518, 1525 (Fed. Cir. 1991).",0,0,0,0,0,0,0,0,0,0,0,0,0
"The showing of “causation-in-fact” must satisfy the “preponderance of the evidence” standard, the same standard ordinarily used in tort litigation. § 300aa-13(a)(1)(A); see also Hines, 940 F. 2d at 1525;",0,0,0,1,0,0,1,0,0,0,0,0,0
"Althen, 418 F. 3d at 1278.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Under that standard, the petitioner must show that it is “more probable than not” that the vaccination was the cause of the injury.",0,1,1,0,1,0,1,0,0,0,0,0,0
"The petitioner need not show that the vaccination was the sole cause or even the predominant cause of the injury or condition, but must demonstrate that the vaccination was at least a “substantial factor” in causing the condition, and was a “but for” cause.",0,1,1,0,1,0,1,0,0,0,0,0,0
"Shyface v. Secretary of HHS, 165 F. 3d 1344, 1352 (Fed. Cir. 1999).",0,0,0,0,0,1,0,0,0,0,0,0,0
"Thus, the petitioner must supply “proof of a logical sequence of cause and effect showing that the vaccination was the reason for the injury;” the logical sequence must be supported by “reputable medical or scientific explanation, i.e., by evidence in the form of scientific studies or expert medical testimony.” Althen, 418 F. 3d at 1278;",0,1,0,1,1,0,1,0,0,0,0,0,0
"Grant v. Secretary of HHS, 956 F. 2d 1144, 1148 (Fed. Cir. 1992).",0,0,0,0,0,0,0,0,0,0,0,0,0
"In this case, the question to be decided is whether the petitioner has prevailed via the “causation-in-fact” avenue.",0,0,0,1,0,0,0,0,0,0,0,0,1
"The parties agree that the basic facts of this case are not in dispute.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Colleen Berry Roperwas born on December 12, 1978.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Until the age of 18, her medical history was unremarkable.",0,0,0,0,0,0,0,0,0,0,1,0,0
"She was treated on an out-patient basis by intravenous hydration.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Despite the treatment, petitioner’s symptoms continued.",0,1,0,0,0,0,0,0,0,0,1,0,0
"Three weeks later, on August 4, 1997, petitioner was hospitalized.",0,0,0,0,0,0,0,0,0,0,1,0,0
"During this hospital stay, a number of tests were performed by Dr. Bradley Winston, a gastroenterologist.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Dr. Winston also noted, however, that the “tetanus shot is of some interest* * * since I wonder whether or not this might cause a neuropathy.” (Id.).",0,1,1,0,0,1,0,0,0,0,1,0,0
"Since then, petitioner has continued to suffer from chronic gastroparesis.",0,1,0,0,0,0,0,0,0,0,1,0,0
"In 1998, petitioner began seeing Dr. Brian Lacy for treatment of the gastroparesis, and has been his patient ever since.",0,1,0,0,0,0,0,0,0,0,1,0,0
"The petitioner in this case contends that her condition of chronic gastroparesis was “caused- in-fact” by the tetanus vaccination that she received on July 10, 1997.",0,1,1,0,1,0,0,0,0,0,0,1,0
"The petition was filed on July 10, 2000, and was originally assigned to Special Master E. LaVon French.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Between July of 2003 and December of 2004, the parties engaged in mediation in an attempt to settle the case, but that attempt was ultimately unsuccessful.",0,0,0,0,0,0,0,0,0,0,0,1,0
"On December 16, 2004, the case was reassigned to my docket, due to the impending retirement of Special Master French.",0,0,0,0,0,0,0,0,0,0,0,1,0
"After the case was transferred to me, I determined that the parties should promptly put forward their evidence on the disputed “causation” issue--i.e., whether the tetanus vaccination caused petitioner’s chronic gastroparesis.",0,1,1,1,1,0,0,0,0,0,0,1,0
"Petitioner had previously filed the expert report of Dr. Brian Lacy, who had been petitioner’s treating physician for the gastroparesis since 1998.",0,0,0,0,0,0,0,0,0,0,0,1,0
"On January 5, 2005, respondent responded with respondent’s Ex. A, the report of Dr. Vito Caserta.",0,0,0,0,0,0,0,0,0,0,0,1,0
"At an unrecorded telephonic status conference held on January 18, 2005, petitioner’s counsel stated that Dr. Lacy was prepared to testify orally concerning the causation issue.",0,0,0,1,0,0,0,0,0,0,0,1,0
"Respondent’s counsel, Mr. Milmoe, stated that Dr. Caserta might or might not testify orally; if Dr. Caserta elected not to testify orally, respondent would rely solely on Dr. Caserta’s written report (Ex. A).",0,0,0,0,0,1,0,0,0,0,0,1,0
"At an unrecorded conference on February 23, 2005, the parties agreed that petitioner would present the testimony of Dr. Lacy, in person, on April 19, 2005.",0,0,0,0,0,0,0,0,0,0,0,1,0
"They further agreed that at that April 19 hearing, the respondent’s expert, Dr. Vito Caserta, might also testify, by telephone, if respondent desired, but that respondent might instead propose an additional date when Dr. Caserta could testify in person.",0,0,0,0,0,0,0,0,0,0,0,1,0
"The parties subsequently agreed to April 27 as a date on which Dr. Caserta could present his oral testimony, in person.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Dr. Lacy did, in fact, testify at an evidentiary hearing on April 19, 2005.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Several days later, however, respondent’s counsel notified my office that Dr. Caserta would not testify on April 27 or at any other time, and that respondent would rely on his written report alone.",0,0,0,0,0,0,0,0,0,0,0,1,0
"The parties agreed to file post-hearing briefs in a seriatim process.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Petitioner filed a brief on June 10, 2005, respondent filed a brief on August 12, 2005, and then petitioner filed reply briefs on September 2 and September 15, 2005.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Based upon all the evidence of record in this case, I conclude that it is “more probable than not” that petitioner’s chronic gastroparesis was caused by her tetanus vaccination.",0,1,1,0,1,0,0,0,1,0,0,0,0
"The shortest summary of my reasoning in this matter is simply that I found the opinion of Dr. Lacy to be more persuasive than the written opinion of Dr. Caserta.",0,0,0,0,0,0,0,0,0,1,0,0,0
"A more detailed summary will follow.",0,0,0,0,0,0,0,0,0,0,0,0,0
"In the following sections of this opinion, I will first summarize the opinions of each of the two experts, then provide a discussion of the reasons for my conclusion.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dr. Lacy, as noted above, originally submitted a letter concerning petitioner’s case (Ex. 5, p. 1), and also submitted, at that time, a copy of a medical article that he and two colleagues had published concerning petitioner’s own case of gastroparesis and the cases of several other individuals who had suffered gastroparesis.",0,1,0,0,0,1,0,0,0,0,0,1,0
"Subsequently, Dr. Lacy testified at an evidentiary hearing on April 19, 2005, where he explained at length his opinion that, more probably than not, petitioner’s chronic gastroparesis was caused by her tetanus vaccination of July 10, 1997.",0,1,1,0,1,0,0,0,0,0,1,0,0
"Dr. Lacy testified that he is a gastroenterologist specializing in “motility disorders”--i.e., disorders in which a person’s gastrointestinal tract malfunctions as a result of problems with nerves and/or muscles.",0,1,1,0,0,0,0,0,0,0,1,0,0
"As such, he sees more patients with gastroparesis than all but a small handful of specialists.",0,1,0,0,0,0,0,0,0,0,1,0,0
"In the course of his treatment of such patients, Dr. Lacy became aware of several persons who developed gastroparesis shortly after vaccinations or after episodes of Lyme Disease.Dr. Lacy and colleagues published a report describing five such cases in the medical journal Digestive Diseases and Sciences, in December of 2002.",0,1,0,0,1,0,0,0,0,0,1,0,0
"One of those five patients--the petitioner herself--developed gastroparesis after tetanus vaccination; one patient experienced gastroparesis after hepatitis B vaccination; one after anthrax vaccination; and two after episodes of Lyme Disease.",0,1,0,0,1,0,0,0,0,0,1,0,0
"As described in that article and in his testimony in this case, Dr. Lacy and colleagues, noting that both vaccinations and Lyme Disease onset can produce inflammation, hypothesized that in each such case the inflammatory episode could have damaged the patient’s nervous system, thereby causing the gastroparesis.",0,1,0,0,1,0,0,0,0,0,1,0,0
"Dr. Lacy and colleagues also noted in the article that gastroparesis is assumed to be often caused by viral illnesses, and that the model of inflammation damaging the nervous system, and thereby causing gastroparesis, would explain those virally-caused cases of gastroparesis as well as the five cases that he and his colleagues reported.",0,1,1,0,0,0,0,0,0,0,1,0,0
"As further support for the authors’ causation theory, the article also noted that the tetanus vaccine has been found in the past to be a likely cause of the nervous system disorders Gullain-Barre Syndrome and brachial neuritis, and that neurologic disorders have also been reported after hepatitis B vaccinations and anthrax vaccinations.",1,1,1,1,1,0,0,0,0,0,1,0,0
"In his testimony in this case, Dr. Lacy further explained his belief that the tetanus vaccination likely caused the gastroparesis of the petitioner, Ms. Roper.",0,1,1,0,1,0,0,0,0,0,1,0,0
"He opined, for example, that apparently certain individuals are simply, for genetic reasons, more vulnerable than others to damage to their nervous system, making it possible for them to suffer gastroparesis after vaccination while most people might suffer no long-term harm from a similar inflammatory process.",0,1,0,0,1,0,0,0,0,0,1,0,0
"Dr. Caserta’s written report (Ex. A) was filed prior to Dr. Lacy’s oral testimony.In that report, Dr. Caserta pointed out that the evidence potentially linking petitioner’s gastroparesis to her tetanus vaccination is quite limited.",0,1,0,0,1,1,0,0,0,0,1,1,0
"He noted that, in general, the causation of gastroparesis is not well-understood, and that in a very substantial percentage of cases of gastroparesis--perhaps a third or more--no cause is ever determined.",0,1,0,1,0,0,0,0,0,0,1,0,0
"He noted that the only medical literature relevant to the issue of whether the tetanus vaccine can cause gastroparesis is the Pande-Lacy article discussed above.",1,1,1,0,0,0,0,0,0,0,1,0,0
"He argued that the existence of “case reports” such as those reported in that article, does not prove that the vaccines caused the gastroparesis disorders in question; such case reports, he argued, merely raise the question of whether there might be a causal association, a question that can be adequately answered only by means of an epidemiologic study.",1,1,1,1,0,0,0,0,0,0,1,0,0
"In short, Dr. Caserta argued that there simply is not enough evidence upon which to reasonably base a conclusion that petitioner’s tetanus vaccination caused her chronic gastroparesis.",0,1,1,0,1,0,0,0,0,0,1,0,0
"I have found the opinion of Dr. Lacy to be more persuasive than that of Dr. Caserta, for a number of reasons.",0,0,0,0,0,0,0,0,1,0,0,0,0
"First, while most often in Vaccine Act cases I hear testimony from expert witnesses whose opinions were solicited expressly for litigation purposes, Dr. Lacy, by contrast, became involved with petitioner’s case when petitioner visited him to seek medical treatment in the ordinary course of her disorder.",0,1,0,0,0,0,0,0,0,1,0,0,0
"Dr. Lacy is not being paid for his testimony.",0,0,0,0,0,0,0,0,0,1,0,0,0
"Further, Dr. Lacy, as a medical professional, felt strongly enough about the possibility of a causal connection between petitioner’s gastroparesis and her vaccination that he published a report of her case in a medical journal, for all of the scientific world to see.",0,1,0,1,1,0,0,0,0,1,0,0,0
